128.198.68.166 - - [10/Apr/2017:16:28:29 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute2.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:32 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute3.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:35 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute4.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:49 -0600] "GET /My_Web_Page_Mathew_Flynn/pages/contact.html HTTP/1.1" 200 1286 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:49 -0600] "GET /My_Web_Page_Mathew_Flynn/images/utemap.gif HTTP/1.1" 200 16613 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/pages/contact.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:49 -0600] "GET /My_Web_Page_Mathew_Flynn/css/index1.css HTTP/1.1" 200 1020 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/pages/contact.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:51 -0600] "GET /My_Web_Page_Mathew_Flynn/index1.html HTTP/1.1" 200 1255 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/pages/contact.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:51 -0600] "GET /My_Web_Page_Mathew_Flynn/css/index1.css HTTP/1.1" 200 1020 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:51 -0600] "GET /My_Web_Page_Mathew_Flynn/scripts/rotate.js HTTP/1.1" 200 928 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:51 -0600] "GET /My_Web_Page_Mathew_Flynn/images/logo.png HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
